Date/Time,Totalizer (Liters),Consumption (Liters),Building,Source File,Hour,DayOfWeek,anomaly
2025-04-09 02:00:00,8872.76,100.1,A1MD,Water_History_A1MD_2025-05-16_07-00.csv,2,2,-1
2025-04-09 02:00:00,8872.76,100.1,A1MD,Water_History_A1MD_2025-05-16_06-59.csv,2,2,-1
2025-04-10 05:32:00,17960.47,114.9,A1FF,Water_History_A1FF_2025-05-16_06-58.csv,5,3,-1
2025-04-10 10:32:00,18234.7,183.14,A1FF,Water_History_A1FF_2025-05-16_06-58.csv,10,3,-1
2025-04-15 10:33:00,19540.62,564.78,A1FF,Water_History_A1FF_2025-05-16_06-58.csv,10,1,-1
2025-04-16 10:33:00,20084.01,334.74,A1FF,Water_History_A1FF_2025-05-16_06-58.csv,10,2,-1
2025-04-17 04:03:00,20430.66,112.87,A1FF,Water_History_A1FF_2025-05-16_06-58.csv,4,3,-1
2025-04-17 07:33:00,20593.21,162.55,A1FF,Water_History_A1FF_2025-05-16_06-58.csv,7,3,-1
2025-04-19 06:03:00,21336.3,93.1,A1FF,Water_History_A1FF_2025-05-16_06-58.csv,6,5,-1
2025-04-21 04:33:00,21946.02,151.76,A1FF,Water_History_A1FF_2025-05-16_06-58.csv,4,0,-1
2025-04-21 06:03:00,22089.59,99.57,A1FF,Water_History_A1FF_2025-05-16_06-58.csv,6,0,-1
2025-04-24 08:03:00,23812.47,176.27,A1FF,Water_History_A1FF_2025-05-16_06-58.csv,8,3,-1
2025-04-26 06:00:00,13947.43,94.85,A2MFF,Water_History_A2MFF_2025-05-16_07-00.csv,6,5,-1
2025-05-07 13:03:00,27863.05,228.41,A1FF,Water_History_A1FF_2025-05-16_06-58.csv,13,2,-1
2025-05-08 10:33:00,28440.22,164.87,A1FF,Water_History_A1FF_2025-05-16_06-58.csv,10,3,-1
2025-05-09 06:03:00,28671.49,151.0,A1FF,Water_History_A1FF_2025-05-16_06-58.csv,6,4,-1
2025-05-12 08:03:00,29512.91,282.11,A1FF,Water_History_A1FF_2025-05-16_06-58.csv,8,0,-1
2025-05-13 06:03:00,29813.33,126.65,A1FF,Water_History_A1FF_2025-05-16_06-58.csv,6,1,-1
2025-05-15 14:30:00,17922.46,164.5,A1MD,Water_History_A1MD_2025-05-16_07-00.csv,14,3,-1
2025-05-15 14:30:00,16787.28,197.44,A2MFF,Water_History_A2MFF_2025-05-16_07-00.csv,14,3,-1
2025-05-15 14:30:00,17922.46,164.5,A1MD,Water_History_A1MD_2025-05-16_06-59.csv,14,3,-1
2025-05-15 15:03:00,30770.21,307.85,A1FF,Water_History_A1FF_2025-05-16_06-58.csv,15,3,-1
2025-05-16 08:15:00,255552.109,149.21799999999348,ATTF,Packet-2025-06-09-23-33.csv,8,4,-1
2025-05-16 08:15:00,99144.391,128.89100000000326,BTTD,Packet-2025-06-09-23-33.csv,8,4,-1
2025-05-16 08:16:00,134801.906,238.53099999998813,ATTD,Packet-2025-06-09-23-33.csv,8,4,-1
2025-05-16 11:15:00,255815.594,263.48500000001513,ATTF,Packet-2025-06-09-23-33.csv,11,4,-1
2025-05-16 11:15:00,100060.984,916.5929999999936,BTTD,Packet-2025-06-09-23-33.csv,11,4,-1
2025-05-16 11:16:00,135028.937,227.03100000001723,ATTD,Packet-2025-06-09-23-33.csv,11,4,-1
2025-05-16 13:45:00,256293.406,331.1719999999914,ATTF,Packet-2025-06-09-23-33.csv,13,4,-1
2025-05-16 14:34:00,52355.457,141.29300000000512,AGFF,Packet-2025-06-09-23-33.csv,14,4,-1
2025-05-16 15:15:00,256412.453,119.04700000002047,ATTF,Packet-2025-06-09-23-33.csv,15,4,-1
2025-05-16 15:46:00,135282.344,202.3130000000237,ATTD,Packet-2025-06-09-23-33.csv,15,4,-1
2025-05-16 16:45:00,256601.766,109.81299999999464,ATTF,Packet-2025-06-09-23-33.csv,16,4,-1
2025-05-16 17:46:00,135471.891,105.89100000000326,ATTD,Packet-2025-06-09-23-33.csv,17,4,-1
2025-05-16 19:16:00,135599.687,127.7960000000021,ATTD,Packet-2025-06-09-23-33.csv,19,4,-1
2025-05-16 20:12:00,58590.52,362.25,BGMF,Packet-2025-06-09-23-33.csv,20,4,-1
2025-05-16 20:15:00,256906.75,304.98399999999674,ATTF,Packet-2025-06-09-23-33.csv,20,4,-1
2025-05-16 21:12:00,58723.992,133.47200000000157,BGMF,Packet-2025-06-09-23-33.csv,21,4,-1
2025-05-16 22:12:00,58849.266,67.63700000000244,BGMF,Packet-2025-06-09-23-33.csv,22,4,-1
2025-05-16 23:12:00,58974.004,62.44499999999971,BGMF,Packet-2025-06-09-23-33.csv,23,4,-1
2025-05-16 23:42:00,59034.852,60.84799999999814,BGMF,Packet-2025-06-09-23-33.csv,23,4,-1
2025-05-17 01:12:00,59192.617,99.08199999999488,BGMF,Packet-2025-06-09-23-33.csv,1,5,-1
2025-05-17 08:15:00,100594.344,152.72699999999895,BTTD,Packet-2025-06-09-23-33.csv,8,5,-1
